Window Length,# Factors (decomposition),Event Timestamp,Event activity score
Window Length,# Factors (decomposition),Event Timestamp,Event activity score
24,5,14,82
24,5,12,105
24,5,13,110
24,5,16,127
24,5,17,112
24,5,15,142
24,5,41,113
24,5,38,82
24,5,37,100
24,5,40,113
24,5,56,126
24,5,61,59
24,5,63,68
24,5,64,99
24,5,59,95
24,5,60,118
24,5,81,43
24,5,83,75
24,5,85,94
24,5,87,103
24,5,82,56
24,5,88,26
24,5,84,98
24,5,86,81
24,5,104,63
24,5,108,74
24,5,102,62
24,5,105,61
24,5,106,58
24,5,110,67
24,5,111,69
24,5,132,68
24,5,135,87
24,5,136,81
24,5,137,124
24,5,138,132
24,5,127,143
24,5,128,155
Window Length,# Factors (decomposition),Event Timestamp,Event activity score
24,6,14,82
24,6,12,106
24,6,13,108
24,6,16,127
24,6,17,111
24,6,15,144
24,6,10,82
24,6,18,60
24,6,39,97
24,6,41,114
24,6,38,82
24,6,40,112
24,6,37,172
24,6,42,108
24,6,56,126
24,6,61,60
24,6,63,69
24,6,64,115
24,6,59,104
24,6,60,126
24,6,66,116
24,6,67,82
24,6,81,43
24,6,83,73
24,6,85,91
24,6,86,76
24,6,87,102
24,6,82,57
24,6,88,32
24,6,84,86
24,6,104,63
24,6,108,74
24,6,118,58
24,6,102,62
24,6,105,60
24,6,106,58
24,6,110,67
24,6,111,68
24,6,96,79
24,6,113,124
24,6,116,88
24,6,132,68
24,6,135,88
24,6,136,81
24,6,137,124
24,6,138,132
24,6,127,143
24,6,128,155
24,6,131,70
24,6,133,93
Window Length,# Factors (decomposition),Event Timestamp,Event activity score
48,3,38,103
48,3,84,128
48,3,86,121
48,3,87,128
48,3,59,97
48,3,60,107
48,3,85,42
48,3,127,119
48,3,128,117
48,3,137,127
48,3,138,118
Window Length,# Factors (decomposition),Event Timestamp,Event activity score
48,5,11,101
48,5,37,101
48,5,38,127
48,5,16,126
48,5,36,126
48,5,39,108
48,5,40,141
48,5,64,91
48,5,84,116
48,5,85,76
48,5,87,114
48,5,65,122
48,5,60,94
48,5,81,67
48,5,57,90
48,5,59,97
48,5,61,52
48,5,63,80
48,5,86,117
48,5,127,156
48,5,128,161
48,5,137,133
Window Length,# Factors (decomposition),Event Timestamp,Event activity score
48,6,34,133
48,6,39,139
48,6,13,104
48,6,15,125
48,6,16,131
48,6,35,95
48,6,38,138
48,6,40,140
48,6,37,106
48,6,64,94
48,6,84,120
48,6,85,79
48,6,87,117
48,6,56,152
48,6,65,137
48,6,60,99
48,6,81,68
48,6,57,86
48,6,59,103
48,6,63,82
48,6,86,132
48,6,127,158
48,6,128,163
48,6,137,132
48,6,113,98
48,6,116,85
48,6,133,83
48,6,134,95
Window Length,# Factors (decomposition),Event Timestamp,Event activity score
72,3,39,130
72,3,38,126
72,3,137,126
72,3,84,148
72,3,86,135
72,3,87,151
Window Length,# Factors (decomposition),Event Timestamp,Event activity score
72,5,34,125
72,5,39,131
72,5,13,88
72,5,42,80
72,5,64,73
72,5,16,125
72,5,36,123
72,5,40,118
72,5,11,99
72,5,37,103
72,5,38,116
72,5,126,111
72,5,127,156
72,5,128,166
72,5,138,135
72,5,84,146
72,5,86,137
72,5,87,146
72,5,137,138
Window Length,# Factors (decomposition),Event Timestamp,Event activity score
72,6,34,127
72,6,38,108
72,6,39,132
72,6,8,67
72,6,13,90
72,6,42,84
72,6,12,88
72,6,13,90
72,6,16,98
72,6,17,89
72,6,35,66
72,6,63,88
72,6,64,74
72,6,15,104
72,6,37,109
72,6,40,128
72,6,11,92
72,6,36,94
72,6,126,100
72,6,138,129
72,6,84,144
72,6,86,134
72,6,87,144
72,6,137,142
72,6,127,160
72,6,128,168
72,6,129,161
